,Unnamed: 0,district,rain,temp,humidity
0,0,Adilabad,0.6831584572792053,23.655895233154297,16.49984359741211
8,8,Bhadradri-Kothagudem,1.4223768711090088,24.18044090270996,17.236562728881836
21,21,Hyderabad,0.8586742877960205,23.830453872680664,16.48762321472168
5,5,Jagtial,0.5771108269691467,23.78814125061035,16.814125061035153
18,18,Jangaon,1.458465337753296,24.328628540039066,17.349071502685547
7,7,Jayashankar-Bhupalpally,0.7740193605422974,23.936418533325195,16.868101119995114
25,25,Jogulamba-Gadwal,0.9843340516090392,23.76182556152344,16.556350708007812
14,14,Kamareddy,0.8515505790710449,23.65863800048828,16.421138763427734
12,12,Karimnagar,0.6033145189285278,23.860088348388672,16.76736831665039
30,30,Khammam,1.682590126991272,24.35672378540039,17.25077247619629
1,1,Kumuram Bheem,0.7361547946929932,24.031238555908203,17.03582763671875
9,9,Mahabubabad,1.8004541397094729,24.25863075256348,17.454240798950195
24,24,Mahabubnagar,1.1226413249969482,23.736106872558594,16.030891418457028
2,2,Mancherial,1.0565789937973022,24.199737548828125,17.199575424194336
16,16,Medak,1.3903560638427734,24.14127540588379,17.193592071533207
20,20,Medchal-Malkajgiri,1.0133084058761597,23.72498893737793,16.467138290405273
27,27,Nagarkurnool,1.9144295454025269,24.367095947265625,17.171737670898438
28,28,Nalgonda,0.9405011534690856,23.94289970397949,16.790437698364258
3,3,Nirmal,1.0077344179153442,24.142658233642575,17.023916244506836
4,4,Nizamabad,0.9393065571784972,23.541675567626953,16.548892974853516
6,6,Peddapalli,0.9330135583877563,24.15328598022461,17.010208129882812
13,13,Rajanna-Siricilla,0.7261515855789185,23.82028961181641,16.800336837768555
22,22,Rangareddy,0.6925085186958313,24.010746002197266,17.049480438232422
15,15,Sangareddy,0.9149335622787476,23.778215408325195,16.642274856567386
17,17,Siddipet,1.046017050743103,23.84502601623535,16.577022552490234
29,29,Suryapet,2.259348154067993,24.43557357788086,17.415733337402347
23,23,Vikarabad,1.0546516180038452,24.056751251220703,16.819015502929688
26,26,Wanaparthy,1.2671688795089722,23.80532073974609,16.191814422607422
10,10,Warangal Rural,1.3307352066040041,24.274511337280273,17.428367614746097
11,11,Warangal Urban,1.0074125528335571,24.095890045166016,17.053747177124027
19,19,Yadadri-Bhongir,0.711338996887207,23.87452888488769,16.798416137695312
